original_id,පාලි වචනය,කෙටි ව්‍යා,පද බෙදීම,සිංහල තේරුම,සංඥා නාම විස්තරය ,ව්‍යාකරණ විස්තරය ,නිරුක්තිය
66657,ංඅ,විප්‍ර,,(ව්‍යාකරණ) 2වන ධාතු වර්ගයේ සන්ධි ලකුණ,,,
1,අ 1.1,අ,,(ව්‍යාකරණ) 'අ' අකුර,,,
2,අ 2.1,උප,(ආ > අ),(ව්‍යාකරණ) ද්විත්ව ව්‍යාංජනයට පෙර කෙටි කළ 'ආ' උපසර්ගය,,ආ' උපසර්ගය ද්විත්ව ව්‍යාංජනයකට පෙර පැමිණෙන විට හ්‍රස්ව වීමෙන් ('ආ' → 'අ') සෑදෙන රූපයකි — රස්ස-සන්ධි නීතියට අනුව ස්වර හ්‍රස්වීකරණයකි.,
3,අ 2.2,උප,,(ව්‍යාකරණ) ද්විත්ව ව්‍යාංජනයට පෙර කෙටි කළ 'ආ' උපසර්ගය,,ඉහත 'අ 2.1' හි ම තවත් භාවිත උදාහරණයකි — 'ආ' උපසර්ගයේ රස්ස (හ්‍රස්ව) රූපය.,
4,අ 2.3,උප,((න්)අ),(ව්‍යාකරණ) ද්විත්ව ව්‍යාංජනයට පෙර කෙටි කළ 'ආ' උපසර්ගය,,ඉහත 'අ 2.1/2.2' හි ම තවත් භාවිත උදාහරණයකි — 'ආ' උපසර්ගයේ රස්ස (හ්‍රස්ව) රූපය.,
5,අ 3.1,විප්‍ර,,(ව්‍යාකරණ) ඇතැම් අතීත/හෙතුකාල ක්‍රියාපදවලට එකතු කරන පූර්වප්‍රත්‍යය,,අ' ආගම (augment) — ධාතුවට අතීත/හේතුමත් විභක්ති ප්‍රත්‍යය යෙදෙන විට ධාතුවේ මුලට එකතු වන පූර්වප්‍රත්‍යයකි. උදා: √ගම් + අ-ආගම + අතීත ප්‍රත්‍යය → අගමා ('ගියේය').,
6,අ 4.1,කෙටියෙ,,(උපසර්ග) නොවූ; නිෂේධාර්ථය,,"නිෂේධාර්ථ 'අ-' උපසර්ගය — ව්‍යාංජනාක්ෂරයෙන් ආරම්භ වන පදවලට 'අ' ලෙසත්, ස්වරයෙන් ආරම්භ වන පදවලට 'අන්' ලෙසත් යෙදේ (උදා: අ+කුසල → අකුසල; අන්+ඉච්ඡා → අනිච්ඡා). නඤ්-තත්පුරුෂ සමාසවල පූර්වකොටස වශයෙන් යෙදේ.",
10466,අං,අ,,(ව්‍යාකරණ) 'ං' අකුර - අනුස්වාරය,,,
10467,අංස 1.1,පු,√අංස් (√අංස්+අ),කොටස,,අංස' (පු.) — 'අන්' (හුස්ම ගැනීම/ජීවත්වීම යන අර්ථය ඇති) ධාතුවට 'ස' ප්‍රත්‍යය එකතුවීමෙන් සෑදුණකි (අන් + ස → අංස). 'කොටස' යන අර්ථය.,
10469,අංස 2.1,පු,,පැත්ත,,අංස' (පු.) — 'අන්' (හුස්ම ගැනීම/ජීවත්වීම යන අර්ථය ඇති) ධාතුවට 'ස' ප්‍රත්‍යය එකතුවීමෙන් සෑදුණකි (අන් + ස → අංස). 'පැත්ත' යන අර්ථයට ව්‍යාප්ත වූවකි.,
