Word,Meaning
,active|dispossess|goods|minimal
(car-park),වට කරනවා
*****මිකා,formica
1.m.f.,අන්තර්ජාතික මූල්‍ය අරමුදල
1ntimidation,බයගැන්වීම
2-tree,2-ගස
2-ගස,2-tree
a,අනියමාර්ථ විශේෂණය | ඉංග්‍රීසි හෝඩියේ මුල් අකුර | උඩ | තුළ | නැති | මත | රහිත | විද්‍යුතය මනින ඒකකය
a-,විරුද්ධාර්ථය අඟවන උපසර්ගයක්
a-bomb,පරමාණු බෝම්බය
a-dynamic,නිර්ගතික
a-effect,තාදාත්ම්‍ය විඝටනය
a.b.c.c.,බ්‍රිතාන්‍ය වාණිජ මණ්ඩලීය සමාගම
a.c.a.,වරලත් ගණකාධිකාරී ආයතනයේ ආශ්‍රිත සාමාක
a.c.t.h,අධිවෘක්ක බාහික භරණ හෝමෝනය | ඇඩ්‍රිනොකෝටිකෝට්‍රොපික් හෝමෝනය
a.d.b.,ආසියානු සංවර්ධන බැංකුව
a.e.a.,පරමාණු ශක්ති අදිකාරිය
a.f,ශ්‍රව්‍ය සංඛ්‍යාතය
a.f.c,ස්වයංක්‍රිය සංඛ්‍යාත පාලකය
a.f.c.,ස්වයංක්‍රිය සංඛ්‍යාත පාලකය
a.g.c,ස්වයංක්‍රිය ලාභ පාලකය
a.g.c.,ස්වයංක්‍රිය ලාභ පාලකය
a.l.s.,අ සි ලි
a.p.t.,ඇලම් අවක්ෂේපිත ධූලකාභය
a.r.,පරිපාලන රෙගුලාසි
a.s.c.e.,ඇමෙරිකන් සිවිල් ඉංජිනේරු සංගමය
a.u.,ඇංස්ට්‍රම් ඒකකය
a.v.c,ස්වයංක්‍රිය පරිමා පාලකය
a.v.c.,ස්වයංක්‍රිය පරිමා පාලකය
aa,ආහය
aarrow,ඇටමිදුළු | මිදුලුව
ab-initio,මුල පටන්
ab-intestato,තෙස්තමේන්තු රහිතව
aba,එළු ලොමින් සෑදූ සිරියා රෙද්ද | ඔටු ලොමින් සෑදූ සිරියා රෙද්ද | සිරියා රෙද්දෙන් මැසූ කබාය
abac,ඇකිය
abaca,අබක
aback,පස්සට | පස්සෙන් | පසුපසට | පුදුමයට | විස්මයට
abacus,ඇබකසය | කුලුණු හිස | ගණක චතුරස්‍රය | ගණක රාමුව | ඝණක චතුරස්‍රය
abaft,අවරට | නැවක පසු භාගයෙහි | පස්සෙන්
abampere,ඇබ්ඇම්පියරය | ඇබැම්පියරය | නියැම්පියරය
abandon,අත සෝදා ගන්නවා | අතරමං කරනවා | අත්හරිනවා | දුරුකරනවා | ප්‍රතික්ෂේප කරනවා | පිටිපානවා | වගකීමක් නැති කම | වර්ජනය කරනවා | සිතුමනාපේ හැසිරීම | හැර දමනවා
abandoned,අතරමං කළ | අත් හළ | අත්හළ | අශිෂ්ට | ජඩ | ජරාවාස | පාලු | පාළු | පුරං | ලූ
abandonedly,අත් හැර දැමූ ලෙස | පාළුවට
abandonment,අත්හැර දැමීම | අත්හැරීම | ත්‍යජනය | පාළුවට හැරීම | විජභනය
abase,නින්දා කරනවා | නිවට වෙනවා | පහතට හෝ යටතට හෝ අවමානයට හෝ පමුණුවනවා | පහත් කරනවා
abasement,අවමන් කිරීම | නින්දා කිරීම | පහත් කිරීම | යටත් කිරීම
abash,අධෛර්ය්‍යයට භාජනය කරනවා | ලජ්ජා වෙනවා | ලජ්ජාවට භාජනය කරනවා
abashment,ලජ්ජාවීම
